timestamp,original_file,viewer,fuzz_type,payload_offset_attempted,trigger_offset_attempted,status,reason,retry_attempt,payload_validated,platform,fitting_payload_addr,fitting_offsets,success_label,confidence_score
1783708723.4266272,sample_0.png,eog,generic_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708757.6201258,sample_0.png,eog,generic_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708791.9648037,sample_0.png,eog,generic_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.3478763,sample_0.png,firefox,aggressive_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708689.5927734,sample_0.png,firefox,aggressive_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708723.7143621,sample_0.png,firefox,aggressive_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708757.8839462,sample_0.png,firefox,aggressive_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708792.0568912,sample_0.png,firefox,aggressive_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.442725,sample_0.png,eog,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708689.69712,sample_0.png,eog,optimization_bypass,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708723.863564,sample_0.png,eog,optimization_bypass,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.0100844,sample_0.png,eog,optimization_bypass,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708792.1585107,sample_0.png,eog,optimization_bypass,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.4842758,sample_0.png,firefox,generic_viewer,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.3170393,sample_0.png,firefox,generic_viewer,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.486014,sample_0.png,firefox,generic_viewer,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.6500797,sample_0.png,firefox,generic_viewer,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708792.877371,sample_0.png,firefox,generic_viewer,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.5511043,sample_0.png,eog,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.2802892,sample_0.png,eog,uaf,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.4662452,sample_0.png,eog,uaf,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.7049568,sample_0.png,eog,uaf,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708792.92624,sample_0.png,eog,uaf,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.627452,sample_0.png,eog,double_free,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.3929415,sample_0.png,eog,double_free,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.595212,sample_0.png,eog,double_free,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.7448227,sample_0.png,eog,double_free,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708792.9632494,sample_0.png,eog,double_free,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.6138074,sample_0.png,eog,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.4723911,sample_0.png,eog,overflow,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.6506443,sample_0.png,eog,overflow,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.8049085,sample_0.png,eog,overflow,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708793.0093787,sample_0.png,eog,overflow,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.5332432,sample_0.png,firefox,uaf,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.5187025,sample_0.png,firefox,uaf,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.747367,sample_0.png,firefox,uaf,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708758.9019191,sample_0.png,firefox,uaf,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708793.1013114,sample_0.png,firefox,uaf,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.6247017,sample_0.png,firefox,overflow,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.6106822,sample_0.png,firefox,overflow,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.9275863,sample_0.png,firefox,overflow,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708759.102588,sample_0.png,firefox,overflow,24,0,FAILED,not triggered,3,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708793.271536,sample_0.png,firefox,overflow,32,0,FAILED,not triggered,4,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708655.6652741,sample_0.png,firefox,optimization_bypass,0,0,FAILED,not triggered,0,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708690.6035342,sample_0.png,firefox,optimization_bypass,8,0,FAILED,not triggered,1,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
1783708724.9775515,sample_0.png,firefox,optimization_bypass,16,0,FAILED,not triggered,2,False,linux_6.17.0_1026_nvidia_aarch64_with_glibc2.39,,,0,0.1
